,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,split3_test_roc_auc_ovr,split4_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
1,1.7517443656921388,0.13492616708227093,0.08396468162536622,0.0078267854134507,10,10000,"{'C': 10, 'max_iter': 10000}",0.4017241379310345,0.4189655172413793,0.385146804835924,0.385146804835924,0.37132987910189985,0.3924626287892323,0.016381784502731575,1,0.5450645220247079,0.6372857151002276,0.5853215394800858,0.6223949288491364,0.5566218611988408,0.5893377133305997,0.03588415380931249,11
2,1.7198275566101073,0.03389084351384933,0.08077850341796874,0.0009630300875890614,10,50000,"{'C': 10, 'max_iter': 50000}",0.4017241379310345,0.41206896551724137,0.385146804835924,0.385146804835924,0.37132987910189985,0.3910833184444048,0.014242943346921453,2,0.5460194021815766,0.6415232435624909,0.5926880118197748,0.6217699165042119,0.5581911129664959,0.5920383374069101,0.03632222958817834,9
3,1.7162204265594483,0.02569653763018609,0.08002009391784667,0.0006999112649755198,10,100000,"{'C': 10, 'max_iter': 100000}",0.4017241379310345,0.41206896551724137,0.385146804835924,0.385146804835924,0.37132987910189985,0.3910833184444048,0.014242943346921453,2,0.5460194021815766,0.6415232435624909,0.5926880118197748,0.6217699165042119,0.5581911129664959,0.5920383374069101,0.03632222958817834,9
16,0.9709989070892334,0.007868776699649851,0.08039045333862305,0.0007045880321826285,0.001,1000,"{'C': 0.001, 'max_iter': 1000}",0.3896551724137931,0.3879310344827586,0.38860103626943004,0.38860103626943004,0.3903281519861831,0.389023286284319,0.000854582790451853,4,0.6144564828158235,0.5800690700392468,0.6006563694886257,0.5899341921724367,0.6276190476396245,0.6025470324311514,0.016960884965855093,5
17,0.9688862323760986,0.005865801545219977,0.08081016540527344,0.001143812993841277,0.001,10000,"{'C': 0.001, 'max_iter': 10000}",0.3896551724137931,0.3879310344827586,0.38860103626943004,0.38860103626943004,0.3903281519861831,0.389023286284319,0.000854582790451853,4,0.6144564828158235,0.5800690700392468,0.6006563694886257,0.5899341921724367,0.6276190476396245,0.6025470324311514,0.016960884965855093,5
18,0.9630932331085205,0.0034747766804466575,0.08188853263854981,0.000830283897131403,0.001,50000,"{'C': 0.001, 'max_iter': 50000}",0.3896551724137931,0.3879310344827586,0.38860103626943004,0.38860103626943004,0.3903281519861831,0.389023286284319,0.000854582790451853,4,0.6144564828158235,0.5800690700392468,0.6006563694886257,0.5899341921724367,0.6276190476396245,0.6025470324311514,0.016960884965855093,5
19,0.9704910278320312,0.008980162028690366,0.08046603202819824,0.0007700590740754456,0.001,100000,"{'C': 0.001, 'max_iter': 100000}",0.3896551724137931,0.3879310344827586,0.38860103626943004,0.38860103626943004,0.3903281519861831,0.389023286284319,0.000854582790451853,4,0.6144564828158235,0.5800690700392468,0.6006563694886257,0.5899341921724367,0.6276190476396245,0.6025470324311514,0.016960884965855093,5
5,1.1338674545288085,0.021120159969787528,0.08160557746887206,0.0009045608256070081,1,10000,"{'C': 1, 'max_iter': 10000}",0.4017241379310345,0.41379310344827586,0.385146804835924,0.3696027633851468,0.37132987910189985,0.38831933774045624,0.017190801220103726,8,0.627584021715157,0.6000377440732446,0.5474119508338421,0.5272288554994656,0.5708653783037165,0.5746255900850852,0.035920870964808546,16
6,1.1145278453826903,0.011044805440182728,0.08123273849487304,0.0005222522790544442,1,50000,"{'C': 1, 'max_iter': 50000}",0.4017241379310345,0.41379310344827586,0.385146804835924,0.3696027633851468,0.37132987910189985,0.38831933774045624,0.017190801220103726,8,0.627584021715157,0.6000377440732446,0.5474119508338421,0.5272288554994656,0.5708653783037165,0.5746255900850852,0.035920870964808546,16
7,1.1124700069427491,0.012330033840717344,0.0807152271270752,0.0005159325255654452,1,100000,"{'C': 1, 'max_iter': 100000}",0.4017241379310345,0.41379310344827586,0.385146804835924,0.3696027633851468,0.37132987910189985,0.38831933774045624,0.017190801220103726,8,0.627584021715157,0.6000377440732446,0.5474119508338421,0.5272288554994656,0.5708653783037165,0.5746255900850852,0.035920870964808546,16
